Product,Source File,OCR/Visual Evidence,Match Reason,Confidence,Status,Main Image,Thumbnail
"MALIKA","WhatsApp Image 2026-08-06 at 4.53.09 PM (7).jpeg","MALIKA / Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC","Brand + printed composition verified visually","100%","MATCHED","/uploads/malika.webp","/uploads/thumbnails/malika.webp"
"TOMMY","WhatsApp Image 2026-08-06 at 4.53.09 PM (76).jpeg","Tommy / Potash Derived from Rhodophytes","Brand + printed composition verified visually","100%","MATCHED","/uploads/tommy.webp","/uploads/thumbnails/tommy.webp"
"EMATIN-5","WhatsApp Image 2026-08-06 at 4.53.09 PM (78).jpeg","EMATIN / Emamectin Benzoate 5% SG / Insecticide","Brand + printed composition verified visually","100%","MATCHED","/uploads/ematin-5.webp","/uploads/thumbnails/ematin-5.webp"
"FIRE","WhatsApp Image 2026-08-06 at 4.53.09 PM (80).jpeg","Fire / Fipronil 40% + Imidacloprid 40% WG","Brand + printed composition verified visually","100%","MATCHED","/uploads/fire.webp","/uploads/thumbnails/fire.webp"
"GALEXA","WhatsApp Image 2026-08-06 at 4.53.09 PM (83).jpeg","Galexa / Picoxystrobin 22.52% SC / Systemic Fungicide","Brand + printed composition verified visually","100%","MATCHED","/uploads/galexa.webp","/uploads/thumbnails/galexa.webp"
"FOSTIN","","","No label found in source set","0%","UNMATCHED","",""
"LORVIN","","","No label found in source set","0%","UNMATCHED","",""
"ISRAEL KING","","","No label found in source set","0%","UNMATCHED","",""
"ASFIN-75","","","No label found in source set","0%","UNMATCHED","",""
"FUNGI STAR","","","No label found in source set","0%","UNMATCHED","",""
"MANICOP","","","No label found in source set","0%","UNMATCHED","",""
"TARA-71","","","No label found in source set","0%","UNMATCHED","",""
"TWINE SUPER","","","No label found in source set","0%","UNMATCHED","",""
"ROBOT","","","No label found in source set","0%","UNMATCHED","",""
"HUMIC 98%","","","No label found in source set","0%","UNMATCHED","",""
"NUTRI POWER 12:32:16","","","No label found in source set","0%","UNMATCHED","",""
